Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Wing,2.793051,2.722772,0.033127,0.033123
Twin_Booms,0.289177,0.271031,0.002810,0.002701
Twin_Booms,0.289177,0.271031,0.002810,0.002701
Body,0.972872,0.943883,0.053022,0.052764
A_Tail,0.532503,0.522265,0.003565,0.003565
A_Tail,0.532503,0.522265,0.003565,0.003565
Totals,5.409283,5.253247,0.098900,0.098423

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Wing_Surf0,1.396525,1.361386
Wing_Surf1,1.396525,1.361386
Twin_Booms_Surf0,0.289177,0.271031
Twin_Booms_Surf1,0.289177,0.271031
Body_Surf0,0.972872,0.943883
A_Tail_Surf0,0.532503,0.522265
A_Tail_Surf1,0.532503,0.522265
